dv,k_studies,study_coverage_pct,dv_bearing_coverage_pct,pooling_method,random_effects_mean,random_effects_se,ci_method,ci95_low,ci95_high,prediction_interval_low,prediction_interval_high,heterogeneity_q,q_pvalue,heterogeneity_i2_pct,heterogeneity_warning,tau2,tau,h2,estimator,mapping_source_categories,k_llm_deduced,includes_llm_deduced,k_polarity_flagged,polarity_warning
AOA1,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.5751522811262741,0.02307976633564613,knapp_hartung_t,-0.5145054021799631,3.6648099644325116,,,50.775684083532795,1.03548634854187e-12,98.03055336811441,i2_exceeds_75pct,0.0,0.0,50.775684083532795,DL,schema; unknown,0,False,0,
AOA2,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.4940086171045013,0.025286797075652324,knapp_hartung_t,-0.9740979548357136,3.962115189044716,,,59.00767082620986,1.570584980248627e-14,98.3053050798341,i2_exceeds_75pct,0.0,0.0,59.00767082620986,DL,schema; unknown,0,False,0,
AOA_SATISFYING,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,-0.02044154493738674,0.041793847730477646,knapp_hartung_t,-0.5814022760819958,0.5405191862072224,,,1.115856919795724,0.29081231851073586,10.382775581741564,,0.0,0.0,1.115856919795724,DL,unknown,0,False,1,1_of_2_studies_flagged_possible_reverse_coding
AOA_USEFULNESS,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.3659061056608257,0.04633557193158134,knapp_hartung_t,-0.09764791660538008,2.8294601279270317,,,6.1795487325042995,0.012923523301955658,83.81758857665415,i2_exceeds_75pct,0.0,0.0,6.1795487325042995,DL,unknown,0,False,0,
SUS1,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.5201786758632583,0.08325214925270655,knapp_hartung_t,2.2486366903937527,4.791720661332764,,,1.4449033689195216,0.22934751398189437,30.79121957146616,,0.0,0.0,1.4449033689195216,DL,schema,0,False,2,
SUS10,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.8059701249949107,0.08471422126411174,knapp_hartung_t,-1.554403142707272,5.166343392697094,,,9.746096309402425,0.0017970392576491588,89.73948165241028,i2_exceeds_75pct,0.0,0.0,9.746096309402425,DL,schema,0,False,2,
SUS2,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.9353995813410878,0.08053287631968135,knapp_hartung_t,-0.3051821944408777,4.175981357123053,,,4.794501726539692,0.02855071370635472,79.14277526558064,i2_exceeds_75pct,0.0,0.0,4.794501726539692,DL,schema,0,False,2,
SUS3,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.73334864376101,0.08377451136807178,knapp_hartung_t,2.668892550645296,4.797804736876724,,,0.042616180671701365,0.8364496741079577,0.0,,0.0,0.0,0.042616180671701365,DL,schema,0,False,2,
SUS4,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.6399504548218737,0.08859857063939458,knapp_hartung_t,-1.6158034349047123,4.895704344548459,,,8.364076714723334,0.0038271101786093464,88.04410774664831,i2_exceeds_75pct,0.0,0.0,8.364076714723334,DL,schema,0,False,2,
SUS5,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.5974046338299783,0.08482857244484306,knapp_hartung_t,2.313785164182344,4.881024103477612,,,1.4182623592386223,0.2336896220503251,29.49118380770971,,0.0,0.0,1.4182623592386223,DL,schema,0,False,2,
SUS6,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,1.9513189695511415,0.09856787416139595,knapp_hartung_t,0.6988953800469411,3.2037425590553417,,,0.01675159842015228,0.8970190200017816,0.0,,0.0,0.0,0.01675159842015228,DL,schema,0,False,2,
SUS7,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.8251209198147067,0.08903335108659083,knapp_hartung_t,2.6938449325607623,4.956396907068651,,,0.5090353101106901,0.4755567613941796,0.0,,0.0,0.0,0.5090353101106901,DL,schema,0,False,2,
SUS8,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,2.3382300336886783,0.09744260953137357,knapp_hartung_t,1.100104286955918,3.5763557804214385,,,0.20725960882052416,0.6489238260666168,0.0,,0.0,0.0,0.20725960882052416,DL,schema,0,False,2,
SUS9,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.5362278866174166,0.07946044271085717,knapp_hartung_t,2.526587233106185,4.545868540128648,,,0.5894257891820767,0.4426412484101667,0.0,,0.0,0.0,0.5894257891820767,DL,schema,0,False,2,
TLX_SCORE,4,28.57142857142857,36.36363636363637,random_effects,7.03961705018309,1.049745386591534,knapp_hartung_t,3.6988587231362455,10.380375377229935,-2.895240256866656,16.974474357232836,142.9892518878213,8.56793652342198e-31,97.9019402085175,i2_exceeds_75pct,4.2295501340585355,2.056587011059473,47.6630839626071,DL,unknown,0,False,0,
effort,4,28.57142857142857,36.36363636363637,random_effects,6.884963692199066,2.139707931925251,knapp_hartung_t,0.07545808985730673,13.694469294540825,-13.608788868773146,27.378716253171277,379.02323684706676,7.736849816448236e-82,99.20849179988126,i2_exceeds_75pct,18.10830075162939,4.255384912276372,126.34107894902225,DL,schema,0,False,0,
frustration,4,28.57142857142857,36.36363636363637,random_effects,6.994157037837065,0.6702168605603288,knapp_hartung_t,4.861227866208001,9.12708620946613,1.2109309920408053,12.777383083633325,16.23119552359262,0.00101669294852705,81.51707312231319,i2_exceeds_75pct,1.3574332329152206,1.1650893669222204,5.410398507864207,DL,schema,0,False,1,1_of_4_studies_flagged_possible_reverse_coding
mental_demand,10,71.42857142857143,90.9090909090909,random_effects,7.721562191891484,1.2254021520546363,knapp_hartung_t,4.949509936312753,10.493614447470215,-1.5515227116983832,16.99464709548135,4349.255979657103,0.0,99.79306805480994,i2_exceeds_75pct,14.669070527876329,3.8300222620601474,483.2506644063448,DL,schema; unknown,0,False,0,
perceived_safety,3,21.428571428571427,27.27272727272727,random_effects,1.9045625857418116,0.17534938644635767,knapp_hartung_t,0.9516517850262556,2.8574733864573676,-2.3983195908927515,6.207444762376375,31.799790839372385,1.2438360975705724e-07,93.71065045646863,i2_exceeds_75pct,0.08393246760875882,0.2897110070548905,15.899895419686192,DL,schema; unknown,0,False,1,1_of_3_studies_flagged_possible_reverse_coding
performance,4,28.57142857142857,36.36363636363637,random_effects,9.767953780854103,1.8814860357755447,knapp_hartung_t,3.780225497857331,15.755682063850877,-7.994658353177236,27.530565914885443,147.8679770431413,7.597342409020636e-32,97.97116315514025,i2_exceeds_75pct,13.502815287676736,3.674617706330379,49.2893256810471,DL,schema,0,False,1,1_of_4_studies_flagged_possible_reverse_coding
physical_demand,4,28.57142857142857,36.36363636363637,random_effects,4.921333530892581,1.229940041402053,knapp_hartung_t,1.0071153904121273,8.835551671373036,-6.7811839415682735,16.623851003353437,196.14451239717903,2.872009780888484e-42,98.47051545651952,i2_exceeds_75pct,5.8847650742468,2.4258534733670127,65.381504132393,DL,schema; unknown,0,False,0,
temporal_demand,4,28.57142857142857,36.36363636363637,random_effects,6.251500639153655,1.6247800557000316,knapp_hartung_t,1.0807253539924329,11.422275924314878,-9.267734546171713,21.770735824479026,212.09673243943763,1.0256994502049055e-45,98.58555105234512,i2_exceeds_75pct,10.369812442012432,3.220219315825,70.69891081314587,DL,schema; unknown,0,False,0,
trust_rating,4,28.57142857142857,36.36363636363637,random_effects,3.7458333963279493,0.2828710141161514,knapp_hartung_t,2.7840729115768355,4.707593881079063,1.037434992990947,6.454231799664951,547.2226977058993,2.77916665105819e-118,99.45177712609934,i2_exceeds_75pct,0.31621869094733046,0.5623332561278325,182.40756590196645,DL,schema; unknown,0,False,1,1_of_4_studies_flagged_possible_reverse_coding
understanding_rating,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,3.950816700983255,0.006878077963826506,knapp_hartung_t,3.863422434183504,4.038210967783006,,,1.6649127274863911e-06,0.9989704778907854,0.0,,0.0,0.0,1.6649127274863911e-06,DL,schema,0,False,0,
usability,2,14.285714285714285,18.181818181818183,fixed_effects_k_lt_3,70.62186603086676,1.6520476414423522,knapp_hartung_t,49.630610464785704,91.6131215969478,,,0.7558663317261445,0.3846252474602483,0.0,,0.0,0.0,0.7558663317261445,DL,unknown,0,False,2,
