study,dv,n,mean,sd,min,max,n_flags,flags
3d_display_comp_vehicle,mental_demand,15,7.3999999999999995,4.205438655564278,1.3333333333333333,15.666666666666666,0,
ehmi_for_all_chi26,crossing_initiation_time,40,16.414158943750003,3.6419756238271077,9.565363444444445,23.548417166666667,0,
ehmi_for_all_chi26,number_of_collisions,40,0.02222222222222222,0.04839951914662546,0.0,0.16666666666666666,0,
ehmi_for_all_chi26,pedestrian_crossing_time,40,7.124707966666667,1.7685683408127293,4.7168986111111115,11.198602277777777,0,
ehmi_for_all_chi26,time_after_crossing,40,2.0965640041527775,0.627629918298591,1.25614005,5.200205105555556,1,extreme kurtosis (15.0)
ehmi_optimization_chi25,acceptance_rating,37,6.3844594594594595,0.8028454464034849,4.175,7.0,0,
ehmi_optimization_chi25,mental_demand,37,8.467567567567567,1.6082779012993393,5.05,12.95,0,
ehmi_optimization_chi25,perceived_safety,37,2.372972972972973,0.8371812904850049,-0.7625,3.0,0,
ehmi_optimization_chi25,trust_rating,37,4.419594594594594,0.6221360810170901,2.4,5.0,0,
ehmi_optimization_chi25,understanding_rating,37,3.950675675675676,0.6661322463818049,2.4125,4.95,0,
fact_av,mental_demand,10354,9.450164187753526,5.694030425821815,1.0,20.0,0,
fact_av,perceived_safety,10354,1.6274628163028781,1.7077641419557383,-3.0,3.0,0,
fact_av,situational_awareness,10354,20.65675101410083,6.93372256138817,-6.0,46.0,0,
fact_av,trust_rating,10354,4.034624299787522,0.9767329535174044,1.0,5.0,0,
fact_av,understanding_rating,10354,15.49179061232374,3.681618254556433,3.0,21.0,1,10191 values above 5.0
longitudinal_usa_germany_ehmi,mental_demand,26,5.551282051282052,3.0527835133672974,1.0,11.5,0,
roads_chi25,AOA_SATISFYING,8,-0.15625,0.38236809116721177,-0.625,0.5,1,small n (8)
roads_chi25,AOA_USEFULNESS,14,1.1828571428571428,0.32552877993963386,0.5333333333333333,1.6,0,
roads_chi25,SUS1,23,3.6413043478260865,0.6268582388761463,2.5833333333333335,4.833333333333333,0,
roads_chi25,SUS10,23,2.2934782608695654,0.8520139410943111,1.0,3.9166666666666665,0,
roads_chi25,SUS2,23,2.210144927536232,0.7150393633728114,1.0833333333333333,3.5,0,
roads_chi25,SUS3,23,3.7572463768115942,0.6853043651567838,2.5,4.916666666666667,0,
roads_chi25,SUS4,23,2.1847826086956514,0.9984067237085399,1.0,4.083333333333333,0,
roads_chi25,SUS5,23,3.6992753623188404,0.5777542350191514,2.0833333333333335,4.5,0,
roads_chi25,SUS6,23,1.971014492753623,0.8695206126021446,1.0,3.9166666666666665,0,
roads_chi25,SUS7,23,3.7246376811594204,0.7990820106395288,2.0833333333333335,5.0,0,
roads_chi25,SUS8,23,2.282608695652174,0.7494691431183843,1.0833333333333333,3.75,0,
roads_chi25,SUS9,23,3.601449275362319,0.5578619231856213,2.5833333333333335,4.833333333333333,0,
roads_chi25,TLX_SCORE,23,7.916666666666669,2.3665601116525847,2.9444444444444446,11.25,0,
roads_chi25,effort,23,8.065217391304346,2.4374700881017732,3.3333333333333335,11.583333333333334,0,
roads_chi25,frustration,23,7.108695652173914,2.8875642000174926,1.4166666666666667,13.0,0,
roads_chi25,mental_demand,23,8.01086956521739,3.1058051246194482,3.5833333333333335,13.083333333333334,0,
roads_chi25,performance,23,8.971014492753621,3.9102630352485135,2.5833333333333335,16.083333333333332,0,
roads_chi25,physical_demand,23,7.126811594202899,3.346269365264842,1.0,11.833333333333334,0,
roads_chi25,temporal_demand,23,8.217391304347828,2.8426472504385765,2.5,12.583333333333334,0,
roads_chi25,usability,23,68.70471014492752,13.214126878253794,43.958333333333336,92.29166666666667,0,
