dv,k_studies,study_coverage_pct,dv_bearing_coverage_pct,pooling_method,random_effects_mean,random_effects_se,ci_method,ci95_low,ci95_high,prediction_interval_low,prediction_interval_high,heterogeneity_q,q_pvalue,heterogeneity_i2_pct,heterogeneity_warning,tau2,tau,h2,estimator,mapping_source_categories,k_llm_deduced,includes_llm_deduced,k_polarity_flagged,polarity_warning
AOA_SATISFYING,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,-0.02044154493738674,0.041793847730477646,knapp_hartung_t,-0.5814022760819958,0.5405191862072224,,,1.115856919795724,0.29081231851073586,10.382775581741564,,0.0,0.0,1.115856919795724,DL,unknown,0,False,1,1_of_2_studies_flagged_possible_reverse_coding
AOA_USEFULNESS,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,1.3659061056608257,0.04633557193158134,knapp_hartung_t,-0.09764791660538008,2.8294601279270317,,,6.1795487325042995,0.012923523301955658,83.81758857665415,i2_exceeds_75pct,0.0,0.0,6.1795487325042995,DL,unknown,0,False,0,
SUS1,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.5201786758632583,0.08325214925270655,knapp_hartung_t,2.2486366903937527,4.791720661332764,,,1.4449033689195216,0.22934751398189437,30.79121957146616,,0.0,0.0,1.4449033689195216,DL,schema,0,False,2,
SUS10,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,1.8059701249949107,0.08471422126411174,knapp_hartung_t,-1.554403142707272,5.166343392697094,,,9.746096309402425,0.0017970392576491588,89.73948165241028,i2_exceeds_75pct,0.0,0.0,9.746096309402425,DL,schema,0,False,2,
SUS2,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,1.9353995813410878,0.08053287631968135,knapp_hartung_t,-0.3051821944408777,4.175981357123053,,,4.794501726539692,0.02855071370635472,79.14277526558064,i2_exceeds_75pct,0.0,0.0,4.794501726539692,DL,schema,0,False,2,
SUS3,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.73334864376101,0.08377451136807178,knapp_hartung_t,2.668892550645296,4.797804736876724,,,0.042616180671701365,0.8364496741079577,0.0,,0.0,0.0,0.042616180671701365,DL,schema,0,False,2,
SUS4,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,1.6399504548218737,0.08859857063939458,knapp_hartung_t,-1.6158034349047123,4.895704344548459,,,8.364076714723334,0.0038271101786093464,88.04410774664831,i2_exceeds_75pct,0.0,0.0,8.364076714723334,DL,schema,0,False,2,
SUS5,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.5974046338299783,0.08482857244484306,knapp_hartung_t,2.313785164182344,4.881024103477612,,,1.4182623592386223,0.2336896220503251,29.49118380770971,,0.0,0.0,1.4182623592386223,DL,schema,0,False,2,
SUS6,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,1.9513189695511415,0.09856787416139595,knapp_hartung_t,0.6988953800469411,3.2037425590553417,,,0.01675159842015228,0.8970190200017816,0.0,,0.0,0.0,0.01675159842015228,DL,schema,0,False,2,
SUS7,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.8251209198147067,0.08903335108659083,knapp_hartung_t,2.6938449325607623,4.956396907068651,,,0.5090353101106901,0.4755567613941796,0.0,,0.0,0.0,0.5090353101106901,DL,schema,0,False,2,
SUS8,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,2.3382300336886783,0.09744260953137357,knapp_hartung_t,1.100104286955918,3.5763557804214385,,,0.20725960882052416,0.6489238260666168,0.0,,0.0,0.0,0.20725960882052416,DL,schema,0,False,2,
SUS9,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.5362278866174166,0.07946044271085717,knapp_hartung_t,2.526587233106185,4.545868540128648,,,0.5894257891820767,0.4426412484101667,0.0,,0.0,0.0,0.5894257891820767,DL,schema,0,False,2,
mental_demand,6,66.66666666666666,100.0,random_effects,7.6435469030225685,1.8070923198841917,knapp_hartung_t,2.9982682102103766,12.28882559583476,-5.518280513394502,20.80537431943964,4000.6723855933265,0.0,99.87502100851835,i2_exceeds_75pct,19.207062865120403,4.382586321468227,800.1344771186652,DL,schema,0,False,0,
perceived_safety,3,33.33333333333333,50.0,random_effects,1.9045625857418116,0.17534938644635767,knapp_hartung_t,0.9516517850262556,2.8574733864573676,-2.3983195908927515,6.207444762376375,31.799790839372385,1.2438360975705724e-07,93.71065045646863,i2_exceeds_75pct,0.08393246760875882,0.2897110070548905,15.899895419686192,DL,schema; unknown,0,False,1,1_of_3_studies_flagged_possible_reverse_coding
trust_rating,3,33.33333333333333,50.0,random_effects,3.825476535084725,0.3811422271816035,knapp_hartung_t,2.0479293598001393,5.60302371036931,-5.825332122655551,13.476285192825001,467.92493179186533,2.462589871552286e-102,99.57258101372346,i2_exceeds_75pct,0.4316241914533974,0.6569811195562605,233.96246589593267,DL,schema; unknown,0,False,1,1_of_3_studies_flagged_possible_reverse_coding
understanding_rating,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,3.950816700983255,0.006878077963826506,knapp_hartung_t,3.863422434183504,4.038210967783006,,,1.6649127274863911e-06,0.9989704778907854,0.0,,0.0,0.0,1.6649127274863911e-06,DL,schema,0,False,0,
usability,2,22.22222222222222,33.33333333333333,fixed_effects_k_lt_3,70.62186603086676,1.6520476414423522,knapp_hartung_t,49.630610464785704,91.6131215969478,,,0.7558663317261445,0.3846252474602483,0.0,,0.0,0.0,0.7558663317261445,DL,unknown,0,False,2,
