study_a,study_b,jaccard,sorensen_dice,overlap_coefficient
3d_display_comp_vehicle,ehmi_for_all_chi26,0.030303030303030304,0.058823529411764705,0.1111111111111111
3d_display_comp_vehicle,ehmi_optimization_chi25,0.3125,0.47619047619047616,0.5555555555555556
3d_display_comp_vehicle,fact_av,0.42105263157894735,0.5925925925925926,0.8888888888888888
3d_display_comp_vehicle,longitudinal_usa_germany_ehmi,0.4375,0.6086956521739131,0.7777777777777778
3d_display_comp_vehicle,osf_cwd6h,0.14285714285714285,0.25,0.2857142857142857
3d_display_comp_vehicle,psych_conflict_handling,0.0,0.0,
3d_display_comp_vehicle,road_bumps_touch,0.047619047619047616,0.09090909090909091,0.1111111111111111
3d_display_comp_vehicle,roads_chi25,0.03333333333333333,0.06451612903225806,0.1111111111111111
3d_display_comp_vehicle,running_into_traffic_chi26,0.041666666666666664,0.08,0.1111111111111111
3d_display_comp_vehicle,scrolling_in_the_deep_chi25,0.0,0.0,0.0
ehmi_for_all_chi26,ehmi_optimization_chi25,0.05714285714285714,0.10810810810810811,0.16666666666666666
ehmi_for_all_chi26,fact_av,0.04878048780487805,0.09302325581395349,0.1111111111111111
ehmi_for_all_chi26,longitudinal_usa_germany_ehmi,0.05405405405405406,0.10256410256410256,0.14285714285714285
ehmi_for_all_chi26,osf_cwd6h,0.03225806451612903,0.0625,0.14285714285714285
ehmi_for_all_chi26,psych_conflict_handling,0.0,0.0,
ehmi_for_all_chi26,road_bumps_touch,0.02702702702702703,0.05263157894736842,0.07692307692307693
ehmi_for_all_chi26,roads_chi25,0.46875,0.6382978723404256,0.6818181818181818
ehmi_for_all_chi26,running_into_traffic_chi26,0.05128205128205128,0.0975609756097561,0.125
ehmi_for_all_chi26,scrolling_in_the_deep_chi25,0.0,0.0,0.0
ehmi_optimization_chi25,fact_av,0.36363636363636365,0.5333333333333333,0.6666666666666666
ehmi_optimization_chi25,longitudinal_usa_germany_ehmi,0.3684210526315789,0.5384615384615384,0.5833333333333334
ehmi_optimization_chi25,osf_cwd6h,0.26666666666666666,0.42105263157894735,0.5714285714285714
ehmi_optimization_chi25,psych_conflict_handling,0.0,0.0,
ehmi_optimization_chi25,road_bumps_touch,0.041666666666666664,0.08,0.08333333333333333
ehmi_optimization_chi25,roads_chi25,0.030303030303030304,0.058823529411764705,0.08333333333333333
ehmi_optimization_chi25,running_into_traffic_chi26,0.16666666666666666,0.2857142857142857,0.3333333333333333
ehmi_optimization_chi25,scrolling_in_the_deep_chi25,0.0,0.0,0.0
fact_av,longitudinal_usa_germany_ehmi,0.45454545454545453,0.625,0.7142857142857143
fact_av,osf_cwd6h,0.19047619047619047,0.32,0.5714285714285714
fact_av,psych_conflict_handling,0.0,0.0,
fact_av,road_bumps_touch,0.03333333333333333,0.06451612903225806,0.07692307692307693
fact_av,roads_chi25,0.02564102564102564,0.05,0.05555555555555555
fact_av,running_into_traffic_chi26,0.13333333333333333,0.23529411764705882,0.25
fact_av,scrolling_in_the_deep_chi25,0.0,0.0,0.0
longitudinal_usa_germany_ehmi,osf_cwd6h,0.23529411764705882,0.38095238095238093,0.5714285714285714
longitudinal_usa_germany_ehmi,psych_conflict_handling,0.0,0.0,
longitudinal_usa_germany_ehmi,road_bumps_touch,0.0,0.0,0.0
longitudinal_usa_germany_ehmi,roads_chi25,0.058823529411764705,0.1111111111111111,0.14285714285714285
longitudinal_usa_germany_ehmi,running_into_traffic_chi26,0.1111111111111111,0.2,0.21428571428571427
longitudinal_usa_germany_ehmi,scrolling_in_the_deep_chi25,0.0,0.0,0.0
osf_cwd6h,psych_conflict_handling,0.0,0.0,
osf_cwd6h,road_bumps_touch,0.0,0.0,0.0
osf_cwd6h,roads_chi25,0.0,0.0,0.0
osf_cwd6h,running_into_traffic_chi26,0.09523809523809523,0.17391304347826086,0.2857142857142857
osf_cwd6h,scrolling_in_the_deep_chi25,0.0,0.0,0.0
psych_conflict_handling,road_bumps_touch,0.0,0.0,
psych_conflict_handling,roads_chi25,0.0,0.0,
psych_conflict_handling,running_into_traffic_chi26,0.0,0.0,
psych_conflict_handling,scrolling_in_the_deep_chi25,0.0,0.0,
road_bumps_touch,roads_chi25,0.029411764705882353,0.05714285714285714,0.07692307692307693
road_bumps_touch,running_into_traffic_chi26,0.03571428571428571,0.06896551724137931,0.07692307692307693
road_bumps_touch,scrolling_in_the_deep_chi25,0.0,0.0,0.0
roads_chi25,running_into_traffic_chi26,0.22580645161290322,0.3684210526315789,0.4375
roads_chi25,scrolling_in_the_deep_chi25,0.0,0.0,0.0
running_into_traffic_chi26,scrolling_in_the_deep_chi25,0.0,0.0,0.0
