study,dv,direction,cluster,correlated_with,r,warning
ehmi_for_all_chi26,SUS1,higher_is_better,ux_satisfaction,SUS10,-0.3532702630422158,possible reverse coding
ehmi_for_all_chi26,SUS1,higher_is_better,ux_satisfaction,SUS2,-0.5081203574975367,possible reverse coding
ehmi_for_all_chi26,SUS1,higher_is_better,ux_satisfaction,SUS4,-0.4351103353818262,possible reverse coding
ehmi_for_all_chi26,SUS1,higher_is_better,ux_satisfaction,SUS6,-0.49767068177251694,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,SUS1,-0.3532702630422158,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,SUS3,-0.5272736855664338,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,SUS5,-0.41878373810332487,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,SUS7,-0.5517970476023446,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,SUS9,-0.44190566283996174,possible reverse coding
ehmi_for_all_chi26,SUS10,higher_is_better,ux_satisfaction,usability,-0.6998229400242426,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,SUS1,-0.5081203574975367,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,SUS3,-0.6718198633641417,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,SUS5,-0.5536917328464626,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,SUS7,-0.5068888993923683,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,SUS9,-0.5444225088718901,possible reverse coding
ehmi_for_all_chi26,SUS2,higher_is_better,ux_satisfaction,usability,-0.7678196205777682,possible reverse coding
ehmi_for_all_chi26,SUS3,higher_is_better,ux_satisfaction,SUS10,-0.5272736855664338,possible reverse coding
ehmi_for_all_chi26,SUS3,higher_is_better,ux_satisfaction,SUS2,-0.6718198633641417,possible reverse coding
ehmi_for_all_chi26,SUS3,higher_is_better,ux_satisfaction,SUS4,-0.4484027168058911,possible reverse coding
ehmi_for_all_chi26,SUS3,higher_is_better,ux_satisfaction,SUS6,-0.6729986853391797,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,SUS1,-0.4351103353818262,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,SUS3,-0.4484027168058911,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,SUS5,-0.3593183673461377,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,SUS7,-0.5110880292379425,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,SUS9,-0.3452204368134944,possible reverse coding
ehmi_for_all_chi26,SUS4,higher_is_better,ux_satisfaction,usability,-0.6461219296084328,possible reverse coding
ehmi_for_all_chi26,SUS5,higher_is_better,ux_satisfaction,SUS10,-0.41878373810332487,possible reverse coding
ehmi_for_all_chi26,SUS5,higher_is_better,ux_satisfaction,SUS2,-0.5536917328464626,possible reverse coding
ehmi_for_all_chi26,SUS5,higher_is_better,ux_satisfaction,SUS4,-0.3593183673461377,possible reverse coding
ehmi_for_all_chi26,SUS5,higher_is_better,ux_satisfaction,SUS6,-0.6007349161595872,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,SUS1,-0.49767068177251694,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,SUS3,-0.6729986853391797,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,SUS5,-0.6007349161595872,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,SUS7,-0.6307126370887433,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,SUS9,-0.5754394816003617,possible reverse coding
ehmi_for_all_chi26,SUS6,higher_is_better,ux_satisfaction,usability,-0.8117533114786458,possible reverse coding
ehmi_for_all_chi26,SUS7,higher_is_better,ux_satisfaction,SUS10,-0.5517970476023446,possible reverse coding
ehmi_for_all_chi26,SUS7,higher_is_better,ux_satisfaction,SUS2,-0.5068888993923683,possible reverse coding
ehmi_for_all_chi26,SUS7,higher_is_better,ux_satisfaction,SUS4,-0.5110880292379425,possible reverse coding
ehmi_for_all_chi26,SUS7,higher_is_better,ux_satisfaction,SUS6,-0.6307126370887433,possible reverse coding
